PostalCode,AfterTaxIncome2015
M2P,115237
M5M,111821
M4N,109841
M5R,108271
M8X,97210
M2L,96512
M4G,94853
M1C,93943
M9B,91110
M3B,90841
M5V,89901
M4J,87847
M1X,85949
M1N,84916
M6J,81956
M4W,81815
M4T,79518
M5N,78988
M4E,78910
M8Z,78903
M4R,78625
M6S,76142
M5E,74061
M5P,71896
M4C,71040
M4V,70912
M5J,70843
M5H,70571
M5C,69914
M4L,69292
M9C,67878
M9R,67497
M6R,67057
M9A,65760
M2J,65712
M4M,65008
M2H,64986
M9P,64448
M4S,63902
M6G,63744
M8W,63602
M3H,63342
M8Y,63142
M1B,62789
M1L,61884
M6C,60516
M1M,60505
M1V,59910
M9W,59873
M2K,59578
M6P,59549
M1W,59517
M6B,59401
M9L,58189
M1S,57738
M3A,57698
M4K,57366
M9M,56743
M3K,56653
M6H,56439
M1E,56128
M3L,55461
M9V,55443
M2N,55348
M6E,55248
M1R,55016
M2M,54608
M4B,54234
M1H,53171
M8V,53099
M4P,52701
M6N,52307
M1P,51653
M3C,51517
M2R,51172
M1G,50870
M6L,50729
M1J,50704
M3M,50498
M3J,49804
M4A,49453
M1T,49272
M6A,49060
M1K,49001
M6M,48555
M6K,48032
M5S,47241
M5A,46938
M4Y,46324
M9N,45952
M5B,45227
M3N,45033
M5G,44704
M4H,41979
M5T,41047
M4X,37555
M5L,0
M7R,0
M7A,0
M5X,0
M5K,0
M7Y,0
M5W,0
